ण्ब	nb
ण्भ	nbh
ण्म	nm
ण्य	ny
ण्र	nr
ण्ल	nl
ण्व	nv
ण्श	nsh
ण्ष	nsh
ण्स	ns
ण्ह	nh
त्क	tk
त्ख	tkh
त्ग	tg
त्घ	tgh
त्च	tch
त्ज	tj
त्झ	tjh
त्ट	tt
त्ठ	tth
त्ड	td
त्ढ	tdh
त्ण	tn
त्त	tt
त्थ	tth
त्द	td
त्ध	tdh
त्न	tn
त्प	tp
त्फ	tph
त्ब	tb
त्भ	tbh
त्म	tm
त्य	ty
त्र	tr
त्ल	tl
त्व	tv
त्श	tsh
त्ष	tsh
त्स	ts
त्ह	th
थ्क	thk
थ्ख	thkh
थ्ग	thg
थ्घ	thgh
थ्च	thch
थ्ज	thj
थ्झ	thjh
थ्ट	tht
थ्ठ	thth
थ्ड	thd
थ्ढ	thdh
थ्ण	thn
थ्त	tht
थ्थ	thth
थ्द	thd
थ्ध	thdh
थ्न	thn
थ्प	thp
थ्फ	thph
थ्ब	thb
थ्भ	thbh
थ्म	thm
थ्य	thy
थ्र	thr
थ्ल	thl
थ्व	thv
थ्श	thsh
थ्ष	thsh
थ्स	ths
थ्ह	thh
द्क	dk
द्ख	dkh
द्ग	dg
द्घ	dgh
द्च	dch
द्ज	dj
द्झ	djh
द्ट	dt
द्ठ	dth
द्ड	dd
द्ढ	ddh
द्ण	dn
द्त	dt
द्थ	dth
द्द	dd
द्ध	ddh
द्न	dn
द्प	dp
द्फ	dph
द्ब	db
द्भ	dbh
द्म	dm
द्य	dy
द्र	dr
द्ल	dl
द्व	dv
द्श	dsh
द्ष	dsh
द्स	ds
द्ह	dh
ध्क	dhk
ध्ख	dhkh
ध्ग	dhg
ध्घ	dhgh
ध्च	dhch
ध्ज	dhj
ध्झ	dhjh
ध्ट	dht
ध्ठ	dhth
ध्ड	dhd
ध्ढ	dhdh
ध्ण	dhn
ध्त	dht
ध्थ	dhth
ध्द	dhd
ध्ध	dhdh
ध्न	dhn
ध्प	dhp
ध्फ	dhph
ध्ब	dhb
ध्भ	dhbh
ध्म	dhm
ध्य	dhy
ध्र	dhr
ध्ल	dhl
ध्व	dhv
ध्श	dhsh
ध्ष	dhsh
ध्स	dhs
ध्ह	dhh
न्क	nk
न्ख	nkh
न्ग	ng
न्घ	ngh
न्च	nch
न्ज	nj
न्झ	njh
न्ट	nt
न्ठ	nth
न्ड	nd
न्ढ	ndh
न्ण	nn
न्त	nt
न्थ	nth
न्द	nd
न्ध	ndh
न्न	nn
न्प	np
न्फ	nph
न्ब	nb
न्भ	nbh
न्म	nm
न्य	ny
न्र	nr
न्ल	nl
न्व	nv
न्श	nsh
न्ष	nsh
न्स	ns
न्ह	nh
प्क	pk
प्ख	pkh
प्ग	pg
प्घ	pgh
प्च	pch
प्ज	pj
प्झ	pjh
प्ट	pt
प्ठ	pth
प्ड	pd
प्ढ	pdh
प्ण	pn
प्त	pt
प्थ	pth
प्द	pd
प्ध	pdh
प्न	pn
प्प	pp
प्फ	pph
प्ब	pb
प्भ	pbh
प्म	pm
प्य	py
प्र	pr
प्ल	pl
प्व	pv
प्श	psh
प्ष	psh
प्स	ps
प्ह	ph
फ्क	phk
फ्ख	phkh
फ्ग	phg
फ्घ	phgh
फ्च	phch
फ्ज	phj
फ्झ	phjh
फ्ट	pht
फ्ठ	phth
फ्ड	phd
फ्ढ	phdh
फ्ण	phn
फ्त	pht
फ्थ	phth
फ्द	phd
फ्ध	phdh
फ्न	phn
फ्प	php
फ्फ	phph
फ्ब	phb
फ्भ	phbh
फ्म	phm
फ्य	phy
फ्र	phr
फ्ल	phl
फ्व	phv
फ्श	phsh
फ्ष	phsh
फ्स	phs
फ्ह	phh
ब्क	bk
ब्ख	bkh
ब्ग	bg
ब्घ	bgh
ब्च	bch
ब्ज	bj
ब्झ	bjh
ब्ट	bt
ब्ठ	bth
ब्ड	bd
ब्ढ	bdh
ब्ण	bn
ब्त	bt
ब्थ	bth
ब्द	bd
ब्ध	bdh
ब्न	bn
ब्प	bp
ब्फ	bph
ब्ब	bb
ब्भ	bbh
ब्म	bm
ब्य	by
ब्र	br
ब्ल	bl
ब्व	bv
ब्श	bsh
ब्ष	bsh
ब्स	bs
ब्ह	bh
भ्क	bhk
भ्ख	bhkh
भ्ग	bhg
भ्घ	bhgh
भ्च	bhch
भ्ज	bhj
भ्झ	bhjh
भ्ट	bht
भ्ठ	bhth
भ्ड	bhd
भ्ढ	bhdh
भ्ण	bhn
भ्त	bht
भ्थ	bhth
भ्द	bhd
भ्ध	bhdh
भ्न	bhn
भ्प	bhp
भ्फ	bhph
भ्ब	bhb
भ्भ	bhbh
भ्म	bhm
भ्य	bhy
भ्र	bhr
भ्ल	bhl
भ्व	bhv
भ्श	bhsh
भ्ष	bhsh
भ्स	bhs
भ्ह	bhh
म्क	mk
म्ख	mkh
म्ग	mg
म्घ	mgh
म्च	mch
म्ज	mj
म्झ	mjh
म्ट	mt
म्ठ	mth
म्ड	md
म्ढ	mdh
म्ण	mn
म्त	mt
म्थ	mth
म्द	md
म्ध	mdh
म्न	mn
म्प	mp
म्फ	mph
म्ब	mb
म्भ	mbh
म्म	mm
म्य	my
म्र	mr
म्ल	ml
म्व	mv
म्श	msh
म्ष	msh
म्स	ms
म्ह	mh
य्क	yk
य्ख	ykh
य्ग	yg
य्घ	ygh
य्च	ych
य्ज	yj
य्झ	yjh
य्ट	yt
य्ठ	yth
य्ड	yd
य्ढ	ydh
य्ण	yn
य्त	yt
य्थ	yth
य्द	yd
य्ध	ydh
य्न	yn
य्प	yp
य्फ	yph
य्ब	yb
य्भ	ybh
य्म	ym
य्य	yy
य्र	yr
य्ल	yl
य्व	yv
य्श	ysh
य्ष	ysh
य्स	ys
य्ह	yh
र्क	rk
र्ख	rkh
र्ग	rg
र्घ	rgh
र्च	rch
र्ज	rj
र्झ	rjh
र्ट	rt
र्ठ	rth
र्ड	rd
र्ढ	rdh
र्ण	rn
र्त	rt
र्थ	rth
र्द	rd
र्ध	rdh
र्न	rn
र्प	rp
र्फ	rph
र्ब	rb
र्भ	rbh
र्म	rm
र्य	ry
र्र	rr
र्ल	rl
र्व	rv
र्श	rsh
र्ष	rsh
र्स	rs
र्ह	rh
ल्क	lk
ल्ख	lkh
ल्ग	lg
ल्घ	lgh
ल्च	lch
ल्ज	lj
ल्झ	ljh
ल्ट	lt
ल्ठ	lth
ल्ड	ld
ल्ढ	ldh
ल्ण	ln
ल्त	lt
ल्थ	lth
ल्द	ld
ल्ध	ldh
ल्न	ln
ल्प	lp
ल्फ	lph
ल्ब	lb
ल्भ	lbh
ल्म	lm
ल्य	ly
ल्र	lr
ल्ल	ll
ल्व	lv
ल्श	lsh
ल्ष	lsh
ल्स	ls
ल्ह	lh
व्क	vk
व्ख	vkh
व्ग	vg
व्घ	vgh
व्च	vch
व्ज	vj
व्झ	vjh
व्ट	vt
व्ठ	vth
व्ड	vd
व्ढ	vdh
व्ण	vn
व्त	vt
व्थ	vth
व्द	vd
व्ध	vdh
व्न	vn
व्प	vp
व्फ	vph
व्ब	vb
व्भ	vbh
व्म	vm
व्य	vy
व्र	vr
व्ल	vl
व्व	vv
व्श	vsh
व्ष	vsh
व्स	vs
व्ह	vh
श्क	shk
श्ख	shkh
श्ग	shg
श्घ	shgh
श्च	shch
श्ज	shj
श्झ	shjh
श्ट	sht
श्ठ	shth
श्ड	shd
श्ढ	shdh
श्ण	shn
श्त	sht
श्थ	shth
श्द	shd
श्ध	shdh
श्न	shn
श्प	shp
श्फ	shph
श्ब	shb
श्भ	shbh
श्म	shm
श्य	shy
श्र	shr
श्ल	shl
श्व	shv
श्श	shsh
श्ष	shsh
श्स	shs
श्ह	shh
ष्क	shk
ष्ख	shkh
ष्ग	shg
ष्घ	shgh
ष्च	shch
ष्ज	shj
ष्झ	shjh
ष्ट	sht
ष्ठ	shth
ष्ड	shd
ष्ढ	shdh
ष्ण	shn
ष्त	sht
ष्थ	shth
ष्द	shd
ष्ध	shdh
ष्न	shn
ष्प	shp
ष्फ	shph
ष्ब	shb
ष्भ	shbh
ष्म	shm
ष्य	shy
ष्र	shr
ष्ल	shl
ष्व	shv
ष्श	shsh
ष्ष	shsh
ष्स	shs
ष्ह	shh
स्क	sk
स्ख	skh
स्ग	sg
स्घ	sgh
स्च	sch
स्ज	sj
स्झ	sjh
स्ट	st
स्ठ	sth
स्ड	sd
स्ढ	sdh
स्ण	sn
स्त	st
स्थ	sth
स्द	sd
स्ध	sdh
स्न	sn
स्प	sp
स्फ	sph
स्ब	sb
स्भ	sbh
स्म	sm
स्य	sy
स्र	sr
स्ल	sl
स्व	sv
स्श	ssh
स्ष	ssh
स्स	ss
स्ह	sh
ह्क	hk
ह्ख	hkh
ह्ग	hg
ह्घ	hgh
ह्च	hch
ह्ज	hj
ह्झ	hjh
ह्ट	ht
ह्ठ	hth
ह्ड	hd
ह्ढ	hdh
ह्ण	hn
ह्त	ht
ह्थ	hth
ह्द	hd
ह्ध	hdh
ह्न	hn
ह्प	hp
ह्फ	hph
ह्ब	hb
ह्भ	hbh
ह्म	hm
ह्य	hy
ह्र	hr
ह्ल	hl
ह्व	hv
ह्श	hsh
ह्ष	hsh
ह्स	hs
ह्ह	hh
का	ka
कि	ki
की	ki
कु	ku
कू	ku
के	ke
कै	kai
को	ko
कौ	kau
कं	kn
खा	kha
खि	khi
खी	khi
खु	khu
खू	khu
खे	khe
खै	khai
खो	kho
खौ	khau
खं	khn
गा	ga
गि	gi
गी	gi
गु	gu
गू	gu
गे	ge
गै	gai
गो	go
गौ	gau
गं	gn
घा	gha
घि	ghi
घी	ghi
घु	ghu
घू	ghu
घे	ghe
घै	ghai
घो	gho
घौ	ghau
घं	ghn
चा	cha
चि	chi
ची	chi
चु	chu
चू	chu
चे	che
चै	chai
चो	cho
चौ	chau
चं	chn
जा	ja
जि	ji
जी	ji
जु	ju
जू	ju
जे	je
जै	jai
जो	jo
जौ	jau
जं	jn
झा	jha
झि	jhi
झी	jhi
झु	jhu
झू	jhu
झे	jhe
झै	jhai
झो	jho
झौ	jhau
झं	jhn
टा	ta
टि	ti
टी	ti
टु	tu
टू	tu
टे	te
टै	tai
टो	to
टौ	tau
टं	tn
ठा	tha
ठि	thi
ठी	thi
ठु	thu
ठू	thu
ठे	the
ठै	thai
ठो	tho
ठौ	thau
ठं	thn
डा	da
डि	di
डी	di
डु	du
डू	du
डे	de
डै	dai
डो	do
डौ	dau
डं	dn
ढा	dha
ढि	dhi
ढी	dhi
ढु	dhu
ढू	dhu
ढे	dhe
ढै	dhai
ढो	dho
ढौ	dhau
ढं	dhn
णा	na
णि	ni
णी	ni
णु	nu
णू	nu
णे	ne
णै	nai
णो	no
णौ	nau
णं	nn
ता	ta
ति	ti
ती	ti
तु	tu
तू	tu
ते	te
तै	tai
तो	to
तौ	tau
तं	tn
था	tha
थि	thi
थी	thi
थु	thu
थू	thu
थे	the
थै	thai
थो	tho
थौ	thau
थं	thn
दा	da
दि	di
दी	di
दु	du
दू	du
दे	de
दै	dai
दो	do
दौ	dau
दं	dn
धा	dha
धि	dhi
धी	dhi
धु	dhu
धू	dhu
धे	dhe
धै	dhai
धो	dho
धौ	dhau
धं	dhn
ना	na
नि	ni
नी	ni
नु	nu
नू	nu
ने	ne
नै	nai
नो	no
नौ	nau
नं	nn
पा	pa
पि	pi
पी	pi
पु	pu
पू	pu
पे	pe
पै	pai
पो	po
पौ	pau
पं	pn
फा	pha
फि	phi
फी	phi
फु	phu
फू	phu
फे	phe
फै	phai
फो	pho
फौ	phau
फं	phn
बा	ba
बि	bi
बी	bi
बु	bu
बू	bu
बे	be
बै	bai
बो	bo
बौ	bau
बं	bn
भा	bha
भि	bhi
भी	bhi
भु	bhu
भू	bhu
भे	bhe
भै	bhai
भो	bho
भौ	bhau
भं	bhn
मा	ma
मि	mi
मी	mi
मु	mu
मू	mu
मे	me
मै	mai
मो	mo
मौ	mau
मं	mn
या	ya
यि	yi
यी	yi
यु	yu
यू	yu
ये	ye
यै	yai
यो	yo
यौ	yau
यं	yn
रा	ra
रि	ri
री	ri
रु	ru
रू	ru
रे	re
रै	rai
रो	ro
रौ	rau
रं	rn
ला	la
लि	li
ली	li
लु	lu
लू	lu
ले	le
लै	lai
लो	lo
लौ	lau
लं	ln
वा	va
वि	vi
वी	vi
वु	vu
वू	vu
वे	ve
वै	vai
वो	vo
वौ	vau
वं	vn
शा	sha
